item	site	category	subcategory	description
Hawk Ring	Dark Souls Wiki	Rings	+	"
One of the special rings granted to the four knights of Gwyn. The Hawk Ring belonged toHawkeye Gough, who led the Greatarchers. Boosts bow range, so that arrows flylike they were shot by Gough's great bow, which took down high-flying dragons.
"
Slumbering Dragoncrest Ring	Dark Souls Wiki	Rings	+	"
This ring was secretly worn by a surreptitious sorcerer at Vinheim Dragon School.The ring is engraved with an everlasting dragon in silent slumber, and masks all sound emitting from its wearer.
"
White Seance Ring	Dark Souls Wiki	Rings	+	"
A divine ring entrusted to the head bishop of the Way of White and apostle to Allfather Lloyd, uncle to Lord Gwyn.It grants additional attunement slots.The head bishop of the Way of White is the guardian of law and caste, and one of the great royals of Thorolund.
"
Calamity Ring	Dark Souls Wiki	Rings	+	"
A ring enchanted by the orange eye of Kalameet, the bringer of calamity. Doubles damage received by its wearer. A useless ring befitting of no finger. Best left unknown, or at least well hidden.
"
Leo Ring	Dark Souls Wiki	Rings	+	"
One of the special rings granted to the four knights of Gwyn. The Leo Ring belongedto Ornstein the Dragonslayer. This ring strengthens counters with pierce weapons.His lugged spear is said to have sliced a boulder in two.
"
Ring of Steel Protection	Dark Souls Wiki	Rings	+	"
This ring belonged to the Knight King Rendal. It grants its wearer protection by boostingdefense against physical attacks. Of the many legends surrounding the Knight King Rendal,one of the more well-known speaks of his standing down a giant drake and slashing it to pieces.
"
Cursebite Ring	Dark Souls Wiki	Rings	+	"
One of the infamous bite rings commissioned by Sir Arstor of Carim. Despite the dreadful rumorssurrounding its creation, this ring is an unmistakable asset, in its ability to help prevent curses.
"
Red Tearstone Ring	Dark Souls Wiki	Rings	+	"
The rare gem called tearstone has the uncanny ability to sense imminent death.This red tearstone from Carim boosts the attack of its wearer when in danger.
"
Cloranthy Ring	Dark Souls Wiki	Rings	+	"
This ancient ring, engraved with a large green flower, is of unknown origin.Hastens the regeneration of stamina.
"
Spell Stoneplate Ring	Dark Souls Wiki	Rings	+	"
Stoneplates, the symbol of a true knight, grant the strength to face various hardships.The blue stoneplate symbolizes souls, and boosts defense against magic.
"
Flame Stoneplate Ring	Dark Souls Wiki	Rings	+	"
Stoneplates, the symbol of a true knight, grant the strength to face various hardships.The red stoneplate symbolizes fire, and boosts defence against flame.
"
East Wood Grain Ring	Dark Souls Wiki	Rings	+	"
This special ring crafted in an Eastern land is made of gold, but with a wood grain crest on its surface.The ring slows the loss of weapon durability and is particularly useful to bearers of delicate swords crafted in the East.
"
Darkmoon Blade Covenant Ring	Dark Souls Wiki	Rings	+	"
Ring granted to those bound by the Darkmoon Blade covenant. Answer Dark Sun Gwyndolin's summoning.Gwyndolin, all too aware of his repulsive, frail appearance, created the illusion of a sister Gwynevere, whohelps him guard over Anor Londo. An unmasking of these deities would be tantamount to blasphemy.
"
Blue Tearstone Ring	Dark Souls Wiki	Rings	+	"
The rare gem called tearstone has the uncanny ability to sense imminent death.This blue tearstone from Catarina boosts the defence of its wearer when in danger.
"
Ring of the Sun's Firstborn	Dark Souls Wiki	Rings	+	"
Lord Gwyn's firstborn, who inherited the sunlight, once wore this ancient ring.Lord Gwyn's firstborn was a god of war, but his foolishness led to a loss of the annals, and rescinding of his deific status.Today, even his name is not known.
"
Covetous Silver Serpent Ring	Dark Souls Wiki	Rings	+	"
The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring preyeven larger than itself has led to an association of gluttony. This silver ring, engraved withthe serpent, rewards its wearer with additional souls for each kill.
"
Dusk Crown Ring	Dark Souls Wiki	Rings	+	"
This magic crown-shaped ring was granted to princess Dusk of Oolacile upon her birth.The ringstone allows its wearer to cast additional sorceries, but at the cost of one-half of HP.
"
Havel's Ring	Dark Souls Wiki	Rings	+	"
This ring was named after Havel the Rock, Lord Gwyn's old battlefield compatriot.Havel's men wore the ring to express faith in their leader and to carry a heavier load
"
Ring of Sacrifice	Dark Souls Wiki	Rings	+	"
This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin. Its wearer will lose nothing upon death, but the ring itself breaks.
"
Orange Charred Ring	Dark Souls Wiki	Rings	+	"
An orange ring enchanted by a witch. Reduces lava damage. Since his sores wereinflamed by lava from birth, his witch sisters gave him this special ring. But fool thathe is, he readily dropped it, and from that spot, a terrible centipede demon was born
"
Bloodbite Ring	Dark Souls Wiki	Rings	+	"
One of the infamous bite rings commissioned by Sir Arstor of Carim. Despite the dreadful rumorssurrounding its creation, this ring is an unmistakable asset, in its ability to help prevent bleeding.
"
Rusted Iron Ring	Dark Souls Wiki	Rings	+	"
This iron ring was used to shackle the guilty. It is terribly rusted, and faintly stained with blood.Those who find this strange ring to their liking will be pleased to find it easier to gain footing on poor ground such as swamps.
"
Ring of the Evil Eye	Dark Souls Wiki	Rings	+	"
According to legend, this ring contains the spirit of the evil eye, a dark beast which assaulted Astora.The strength of the evil eye does not waver, and HP is absorbed from fallen enemies.
"
Tiny Being's Ring	Dark Souls Wiki	Rings	+	"
Ring made of an ancient tiny red jewel. Grants small increase to HP. Rings grant powerslarge and small. Their discovery, and effective use, can make one's journey easier
"
